,Unnamed: 0,annot1_idx,annot2_idx,Gof,label1,label2,label1_orig,label1_orig_renamed
195,195,196,11,100.0,R_POS2_ROI_R,parc_2,R_POS2_ROI,POS2_R
196,196,197,13,69.5804195804196,R_V7_ROI_R,parc_4,R_V7_ROI,V7_R
197,197,198,12,87.1794871794872,R_IPS1_ROI_R,parc_3,R_IPS1_ROI,IPS1_R
198,198,199,11,81.3483146067416,R_FFC_ROI_R,parc_2,R_FFC_ROI,FFC_R
199,199,200,13,67.6392572944297,R_V3B_ROI_R,parc_4,R_V3B_ROI,V3B_R
200,200,201,13,100.0,R_LO1_ROI_R,parc_4,R_LO1_ROI,LO1_R
201,201,202,13,100.0,R_LO2_ROI_R,parc_4,R_LO2_ROI,LO2_R
202,202,203,13,100.0,R_PIT_ROI_R,parc_4,R_PIT_ROI,PIT_R
203,203,204,13,100.0,R_MT_ROI_R,parc_4,R_MT_ROI,MT_R
204,204,205,14,75.7475083056478,R_A1_ROI_R,parc_5,R_A1_ROI,A1_R
205,205,206,12,85.9749144811859,R_PSL_ROI_R,parc_3,R_PSL_ROI,PSL_R
206,206,207,11,100.0,R_SFL_ROI_R,parc_2,R_SFL_ROI,SFL_R
207,207,208,11,100.0,R_PCV_ROI_R,parc_2,R_PCV_ROI,PCV_R
208,208,209,11,58.2774049217002,R_STV_ROI_R,parc_2,R_STV_ROI,STV_R
209,209,210,11,100.0,R_7Pm_ROI_R,parc_2,R_7Pm_ROI,7Pm_R
210,210,211,11,99.7432605905006,R_7m_ROI_R,parc_2,R_7m_ROI,7m_R
211,211,212,15,47.6239669421488,R_POS1_ROI_R,parc_6,R_POS1_ROI,POS1_R
212,212,213,15,100.0,R_23d_ROI_R,parc_6,R_23d_ROI,23d_R
213,213,214,15,97.1014492753623,R_v23ab_ROI_R,parc_6,R_v23ab_ROI,v23ab_R
214,214,215,15,100.0,R_d23ab_ROI_R,parc_6,R_d23ab_ROI,d23ab_R
215,215,216,15,94.0559440559441,R_31pv_ROI_R,parc_6,R_31pv_ROI,31pv_R
216,216,217,11,42.6086956521739,R_5m_ROI_R,parc_2,R_5m_ROI,5m_R
217,217,218,11,100.0,R_5mv_ROI_R,parc_2,R_5mv_ROI,5mv_R
218,218,219,11,54.0377358490566,R_23c_ROI_R,parc_2,R_23c_ROI,23c_R
219,219,220,11,48.8938053097345,R_5L_ROI_R,parc_2,R_5L_ROI,5L_R
220,220,221,11,92.7272727272727,R_24dd_ROI_R,parc_2,R_24dd_ROI,24dd_R
221,221,222,11,69.0159574468085,R_24dv_ROI_R,parc_2,R_24dv_ROI,24dv_R
222,222,223,11,65.1648351648352,R_7AL_ROI_R,parc_2,R_7AL_ROI,7AL_R
223,223,224,11,100.0,R_SCEF_ROI_R,parc_2,R_SCEF_ROI,SCEF_R
224,224,225,11,100.0,R_6ma_ROI_R,parc_2,R_6ma_ROI,6ma_R
225,225,226,11,100.0,R_7Am_ROI_R,parc_2,R_7Am_ROI,7Am_R
