annot1_idx,annot2_idx,Gof,label1,label2,label1_orig
120,3,100.0,superiorfrontal_part11_L,parc_2,superiorfrontal_part11
121,3,100.0,superiorfrontal_part12_L,parc_2,superiorfrontal_part12
122,3,96.1981566820276,superiorfrontal_part13_L,parc_2,superiorfrontal_part13
123,4,52.2045855379189,superiorparietal_part1_L,parc_3,superiorparietal_part1
124,5,100.0,superiorparietal_part2_L,parc_4,superiorparietal_part2
125,4,92.5998052580331,superiorparietal_part3_L,parc_3,superiorparietal_part3
126,4,100.0,superiorparietal_part4_L,parc_3,superiorparietal_part4
127,4,97.809667673716,superiorparietal_part5_L,parc_3,superiorparietal_part5
128,5,66.5369649805447,superiorparietal_part6_L,parc_4,superiorparietal_part6
129,3,94.6859903381642,superiorparietal_part7_L,parc_2,superiorparietal_part7
130,3,89.6987366375121,superiorparietal_part8_L,parc_2,superiorparietal_part8
131,3,78.713339640492,superiorparietal_part9_L,parc_2,superiorparietal_part9
132,3,97.5124378109453,superiorparietal_part10_L,parc_2,superiorparietal_part10
133,3,63.8888888888889,superiortemporal_part1_L,parc_2,superiortemporal_part1
134,7,79.0243902439024,superiortemporal_part2_L,parc_6,superiortemporal_part2
135,3,100.0,superiortemporal_part3_L,parc_2,superiortemporal_part3
136,4,72.5161290322581,superiortemporal_part4_L,parc_3,superiortemporal_part4
137,3,84.8269742679681,superiortemporal_part5_L,parc_2,superiortemporal_part5
